Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","1.5521","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","1.4889","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","1.3251","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","1.1263","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","1.5197","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.6455","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5061","Synthetic Fertilizers","2015","2015","3050","FAO TIER 1","kt","1.9263","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5061","Synthetic Fertilizers","2016","2016","3050","FAO TIER 1","kt","2.0128","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5061","Synthetic Fertilizers","2017","2017","3050","FAO TIER 1","kt","2.9312","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5061","Synthetic Fertilizers","2018","2018","3050","FAO TIER 1","kt","2.5113","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kt","1.2429","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","5061","Synthetic Fertilizers","2020","2020","3050","FAO TIER 1","kt","0.8983","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6993","Fires in organic soils","2015","2015","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6993","Fires in organic soils","2015","2015","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6993","Fires in organic soils","2016","2016","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6993","Fires in organic soils","2016","2016","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6993","Fires in organic soils","2017","2017","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6993","Fires in organic soils","2017","2017","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6993","Fires in organic soils","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6993","Fires in organic soils","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6993","Fires in organic soils","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6993","Fires in organic soils","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2015","2015","3050","FAO TIER 1","kt","27.2354","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2016","2016","3050","FAO TIER 1","kt","27.8469","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2017","2017","3050","FAO TIER 1","kt","35.3094","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2018","2018","3050","FAO TIER 1","kt","35.5012","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2019","2019","3050","FAO TIER 1","kt","35.5549","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2020","2020","3050","FAO TIER 1","kt","38.2179","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6821","Energy","2015","2015","3050","FAO TIER 1","kt","40.3073","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","6821","Energy","2015","2015","3050","FAO TIER 1","kt","0.305","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6821","Energy","2015","2015","3050","FAO TIER 1","kt","9783.099","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6821","Energy","2016","2016","3050","FAO TIER 1","kt","46.0482","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","6821","Energy","2016","2016","3050","FAO TIER 1","kt","0.2651","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6821","Energy","2016","2016","3050","FAO TIER 1","kt","9033.0968","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6821","Energy","2017","2017","3050","FAO TIER 1","kt","54.5771","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","6821","Energy","2017","2017","3050","FAO TIER 1","kt","0.2738","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6821","Energy","2017","2017","3050","FAO TIER 1","kt","9871.0539","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6821","Energy","2018","2018","3050","FAO TIER 1","kt","58.9669","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7230","Emissions (N2O)","6821","Energy","2018","2018","3050","FAO TIER 1","kt","0.283","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7273","Emissions (CO2)","6821","Energy","2018","2018","3050","FAO TIER 1","kt","10809.427","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","7225","Emissions (CH4)","6821","Energy","2019","2019","3050","FAO TIER 1","kt","54.1248","E","Estimated value",""
